Date.and.Time..UTC.,Receiver,Transmitter,Transmitter.Name,Transmitter.Serial,Sensor.Value,Sensor.Unit,Station.Name,Latitude,Longitude,Transmitter.Type,Sensor.Precision
2023-09-23 16:16:03,VR2Tx-485668,A69-1602-12253,,NA,,,WCO_Anacapa South,34.01028,-119.36802,NA,NA
2023-09-23 16:17:14,VR2Tx-485668,A69-1602-12253,,NA,,,WCO_Anacapa South,34.01028,-119.36802,NA,NA
2023-09-23 16:20:05,VR2Tx-485668,A69-1602-12253,,NA,,,WCO_Anacapa South,34.01028,-119.36802,NA,NA
2023-09-23 16:24:06,VR2Tx-485668,A69-1602-12253,,NA,,,WCO_Anacapa South,34.01028,-119.36802,NA,NA
2023-09-23 16:26:02,VR2Tx-485668,A69-1602-12253,,NA,,,WCO_Anacapa South,34.01028,-119.36802,NA,NA
2023-09-23 16:27:51,VR2Tx-485668,A69-1602-12253,,NA,,,WCO_Anacapa South,34.01028,-119.36802,NA,NA
2023-09-23 16:30:30,VR2Tx-485668,A69-1602-12253,,NA,,,WCO_Anacapa South,34.01028,-119.36802,NA,NA
2023-09-23 16:39:09,VR2Tx-485668,A69-1602-12253,,NA,,,WCO_Anacapa South,34.01028,-119.36802,NA,NA
2023-09-23 16:40:33,VR2Tx-485668,A69-1602-12253,,NA,,,WCO_Anacapa South,34.01028,-119.36802,NA,NA
2023-09-23 18:11:13,VR2Tx-485668,A69-1602-12253,,NA,,,WCO_Anacapa South,34.01028,-119.36802,NA,NA
2023-09-23 18:12:29,VR2Tx-485668,A69-1602-12253,,NA,,,WCO_Anacapa South,34.01028,-119.36802,NA,NA
2023-09-23 18:17:23,VR2Tx-485668,A69-1602-12253,,NA,,,WCO_Anacapa South,34.01028,-119.36802,NA,NA
2023-09-23 18:18:35,VR2Tx-485668,A69-1602-12253,,NA,,,WCO_Anacapa South,34.01028,-119.36802,NA,NA
2023-09-23 18:19:54,VR2Tx-485668,A69-1602-12253,,NA,,,WCO_Anacapa South,34.01028,-119.36802,NA,NA
2023-09-23 18:21:29,VR2Tx-485668,A69-1602-12253,,NA,,,WCO_Anacapa South,34.01028,-119.36802,NA,NA
2023-09-23 18:22:36,VR2Tx-485668,A69-1602-12253,,NA,,,WCO_Anacapa South,34.01028,-119.36802,NA,NA
2023-09-23 18:23:46,VR2Tx-485668,A69-1602-12253,,NA,,,WCO_Anacapa South,34.01028,-119.36802,NA,NA
2023-09-23 18:26:33,VR2Tx-485668,A69-1602-12253,,NA,,,WCO_Anacapa South,34.01028,-119.36802,NA,NA
2023-09-23 18:38:36,VR2Tx-485668,A69-1602-12253,,NA,,,WCO_Anacapa South,34.01028,-119.36802,NA,NA
2023-09-23 18:41:58,VR2Tx-485668,A69-1602-12253,,NA,,,WCO_Anacapa South,34.01028,-119.36802,NA,NA
2023-09-23 18:46:50,VR2Tx-485668,A69-1602-12253,,NA,,,WCO_Anacapa South,34.01028,-119.36802,NA,NA
